,year,month,day,team_visit,team_home,구장
0,2020,5,5,한화,SK,문학
1,2020,5,5,롯데,KT,수원
2,2020,5,5,NC,삼성,대구
3,2020,5,5,두산,LG,잠실
4,2020,5,5,키움,KIA,광주
5,2020,5,6,한화,SK,문학
6,2020,5,6,롯데,KT,수원
7,2020,5,6,NC,삼성,대구
8,2020,5,6,두산,LG,잠실
9,2020,5,6,키움,KIA,광주
10,2020,5,7,한화,SK,문학
11,2020,5,7,롯데,KT,수원
12,2020,5,7,NC,삼성,대구
13,2020,5,7,두산,LG,잠실
14,2020,5,7,키움,KIA,광주
15,2020,5,8,한화,키움,고척
16,2020,5,8,KIA,삼성,대구
17,2020,5,8,KT,두산,잠실
18,2020,5,8,LG,NC,창원
19,2020,5,8,SK,롯데,사직
20,2020,5,9,한화,키움,고척
21,2020,5,9,KIA,삼성,대구
22,2020,5,10,한화,키움,고척
23,2020,5,10,KIA,삼성,대구
24,2020,5,10,KT,두산,잠실
25,2020,5,10,LG,NC,창원
26,2020,5,10,SK,롯데,사직
27,2020,5,12,KIA,한화,대전
28,2020,5,12,KT,NC,창원
29,2020,5,12,두산,롯데,사직
30,2020,5,12,SK,LG,잠실
31,2020,5,12,삼성,키움,고척
32,2020,5,13,KIA,한화,대전
33,2020,5,13,KT,NC,창원
34,2020,5,13,두산,롯데,사직
35,2020,5,13,SK,LG,잠실
36,2020,5,13,삼성,키움,고척
37,2020,5,14,KIA,한화,대전
38,2020,5,14,KT,NC,창원
39,2020,5,14,두산,롯데,사직
40,2020,5,14,SK,LG,잠실
41,2020,5,14,삼성,키움,고척
42,2020,5,15,롯데,한화,대전
43,2020,5,15,NC,SK,문학
44,2020,5,15,두산,KIA,광주
45,2020,5,15,삼성,KT,수원
46,2020,5,16,롯데,한화,대전
47,2020,5,16,키움,LG,잠실
48,2020,5,16,NC,SK,문학
49,2020,5,16,두산,KIA,광주
50,2020,5,16,삼성,KT,수원
51,2020,5,16,키움,LG,잠실
52,2020,5,17,롯데,한화,대전
53,2020,5,17,NC,SK,문학
54,2020,5,17,두산,KIA,광주
55,2020,5,17,삼성,KT,수원
56,2020,5,17,키움,LG,잠실
57,2020,5,19,한화,KT,수원
