"year","month","T_ID","APP_T_ID","H_A"
2020,5,"SK","HH","HOME"
2020,5,"KT","LT","HOME"
2020,5,"SS","NC","HOME"
2020,5,"LG","OB","HOME"
2020,5,"HT","WO","HOME"
2020,5,"SK","HH","HOME"
2020,5,"KT","LT","HOME"
2020,5,"SS","NC","HOME"
2020,5,"LG","OB","HOME"
2020,5,"HT","WO","HOME"
2020,5,"SK","HH","HOME"
2020,5,"KT","LT","HOME"
2020,5,"SS","NC","HOME"
2020,5,"LG","OB","HOME"
2020,5,"HT","WO","HOME"
2020,5,"WO","HH","HOME"
2020,5,"SS","HT","HOME"
2020,5,"OB","KT","HOME"
2020,5,"NC","LG","HOME"
2020,5,"LT","SK","HOME"
2020,5,"WO","HH","HOME"
2020,5,"SS","HT","HOME"
2020,5,"WO","HH","HOME"
2020,5,"SS","HT","HOME"
2020,5,"OB","KT","HOME"
2020,5,"NC","LG","HOME"
2020,5,"LT","SK","HOME"
2020,5,"HH","HT","HOME"
2020,5,"NC","KT","HOME"
2020,5,"LT","OB","HOME"
2020,5,"LG","SK","HOME"
2020,5,"WO","SS","HOME"
2020,5,"HH","HT","HOME"
2020,5,"NC","KT","HOME"
2020,5,"LT","OB","HOME"
2020,5,"LG","SK","HOME"
2020,5,"WO","SS","HOME"
2020,5,"HH","HT","HOME"
2020,5,"NC","KT","HOME"
2020,5,"LT","OB","HOME"
2020,5,"LG","SK","HOME"
2020,5,"WO","SS","HOME"
2020,5,"HH","LT","HOME"
2020,5,"SK","NC","HOME"
2020,5,"HT","OB","HOME"
2020,5,"KT","SS","HOME"
2020,5,"HH","LT","HOME"
2020,5,"LG","WO","HOME"
2020,5,"SK","NC","HOME"
2020,5,"HT","OB","HOME"
2020,5,"KT","SS","HOME"
2020,5,"LG","WO","HOME"
2020,5,"HH","LT","HOME"
2020,5,"SK","NC","HOME"
2020,5,"HT","OB","HOME"
2020,5,"KT","SS","HOME"
2020,5,"LG","WO","HOME"
2020,5,"KT","HH","HOME"
2020,5,"SS","LG","HOME"
2020,5,"HT","LT","HOME"
2020,5,"OB","NC","HOME"
2020,5,"WO","SK","HOME"
2020,5,"KT","HH","HOME"
2020,5,"SS","LG","HOME"
2020,5,"HT","LT","HOME"
2020,5,"OB","NC","HOME"
2020,5,"WO","SK","HOME"
2020,5,"KT","HH","HOME"
2020,5,"SS","LG","HOME"
2020,5,"HT","LT","HOME"
2020,5,"OB","NC","HOME"
2020,5,"WO","SK","HOME"
2020,5,"NC","HH","HOME"
2020,5,"SK","HT","HOME"
2020,5,"LG","KT","HOME"
2020,5,"SS","OB","HOME"
2020,5,"LT","WO","HOME"
2020,5,"LG","KT","HOME"
2020,5,"NC","HH","HOME"
2020,5,"SK","HT","HOME"
2020,5,"SS","OB","HOME"
2020,5,"LT","WO","HOME"
2020,5,"NC","HH","HOME"
